Nominal replay operation report (dimensions are integer micrometres).
maple-3-x-max [surface]: inputs=maple-3-x-min; outputs=maple-3-x-max,maple-3-x-max-milling; input_size_um=[107000, 300000, 27000]; output_sizes_um={'maple-3-x-max': [106000, 300000, 27000], 'maple-3-x-max-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
maple-3-rip [cut]: inputs=maple-3-x-max; outputs=maple-3-a-pre,maple-3-a-rem; input_size_um=[106000, 300000, 27000]; output_sizes_um={'maple-3-a-pre': [51000, 300000, 27000], 'maple-3-a-rem': [52000, 300000, 27000]}; axis=0; retained_um=51000; kerf_um=3000; kerf_volume_um3=24300000000000; tool=saw; category=other_offcuts; retained_side=min
maple-3-a-joint [surface]: inputs=maple-3-a-pre; outputs=maple-3-a50,maple-3-a-joint-milling; input_size_um=[51000, 300000, 27000]; output_sizes_um={'maple-3-a50': [50000, 300000, 27000], 'maple-3-a-joint-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
maple-3-rem-joint [surface]: inputs=maple-3-a-rem; outputs=maple-3-rem-new,maple-3-rem-joint-milling; input_size_um=[52000, 300000, 27000]; output_sizes_um={'maple-3-rem-new': [51000, 300000, 27000], 'maple-3-rem-joint-milling': [1000, 300000, 27000]}; axis=0; side=min; amount_um=1000; category=milling; process=jointer
maple-3-rem-edge [surface]: inputs=maple-3-rem-new; outputs=maple-3-b50,maple-3-rem-edge-milling; input_size_um=[51000, 300000, 27000]; output_sizes_um={'maple-3-b50': [50000, 300000, 27000], 'maple-3-rem-edge-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
maple-4-separate [cut]: inputs=maple-4; outputs=maple-4-window,maple-4-reserve; input_size_um=[108000, 419000, 33000]; output_sizes_um={'maple-4-window': [108000, 316000, 33000], 'maple-4-reserve': [108000, 100000, 33000]}; axis=1; retained_um=316000; kerf_um=3000; kerf_volume_um3=10692000000000; tool=saw; category=other_offcuts; retained_side=min
maple-4-end-min [cut]: inputs=maple-4-window; outputs=maple-4-end-min-blank,maple-4-end-min-offcut; input_size_um=[108000, 316000, 33000]; output_sizes_um={'maple-4-end-min-blank': [108000, 308000, 33000], 'maple-4-end-min-offcut': [108000, 5000, 33000]}; axis=1; retained_um=308000; kerf_um=3000; kerf_volume_um3=10692000000000; tool=saw; category=trim; retained_side=max
maple-4-end-max [cut]: inputs=maple-4-end-min-blank; outputs=maple-4-blank,maple-4-end-max-offcut; input_size_um=[108000, 308000, 33000]; output_sizes_um={'maple-4-blank': [108000, 300000, 33000], 'maple-4-end-max-offcut': [108000, 5000, 33000]}; axis=1; retained_um=300000; kerf_um=3000; kerf_volume_um3=10692000000000; tool=saw; category=trim; retained_side=min
maple-4-z-min [surface]: inputs=maple-4-blank; outputs=maple-4-z-min,maple-4-z-min-milling; input_size_um=[108000, 300000, 33000]; output_sizes_um={'maple-4-z-min': [108000, 300000, 30000], 'maple-4-z-min-milling': [108000, 300000, 3000]}; axis=2; side=min; amount_um=3000; category=milling; process=thickness_planer
maple-4-z-max [surface]: inputs=maple-4-z-min; outputs=maple-4-z-max,maple-4-z-max-milling; input_size_um=[108000, 300000, 30000]; output_sizes_um={'maple-4-z-max': [108000, 300000, 27000], 'maple-4-z-max-milling': [108000, 300000, 3000]}; axis=2; side=max; amount_um=3000; category=milling; process=thickness_planer
